Year,Venue,Title,Authors,DOI,Citations
2015,T-VT,Nonasymptotic Multicast Throughput and Delay in Multihop Wireless Networks,Jingjing Luo; Li Yu; Jinbei Zhang; Xinbing Wang,https://doi.org/10.1109/tvt.2015.2465963,1
2024,T-VT,A New Perspective on Airport Delay Prediction: A Three-Channel Temporal Convolution Network With Complex Network Information,Shanmei Li; Dengjiang Sun; Chao Wang; Siying Xu; Yang Yang,https://doi.org/10.1109/tvt.2024.3487895,1
2025,RAL,Prediction of Delay-Free Scene for Quadruped Robot Teleoperation: Integrating Delayed Data With User Commands,Seunghyeon Ha; Seongyong Kim; Soo‐Chul Lim,https://doi.org/10.1109/lra.2025.3536222,1
2025,RAL,Predictor-Based Time Delay Control of a Hex-Jet Autonomous Aerial Vehicle,Junning Liang; Haowen Zheng; Yuying Zhang; Yongzhuo Gao; Wei Dong,https://doi.org/10.1109/lra.2025.3544062,1
2007,JIRS,Coprime-factorized Model Predictive Control for Unstable Processes with Delay,Igor Škrjanc,https://doi.org/10.1007/s10846-007-9136-y,1
2025,JIRS,Upper Limb Modeling for Delay-Compensated Motion Prediction using Dilated Convolution Based on sEMG and IMU Sensor Fusion,Jin‐Woo Kang; Young-Dae Hong,https://doi.org/10.1007/s10846-025-02319-z,1
2025,T-CST,Learning-Based Practical Nonlinear Predictive Controller for Solar Thermal Collector Fields,Igor M. L. Pataro; Juan D. Gil; J.D. Álvarez; José Luís Guzmán; João M. Lemos,https://doi.org/10.1109/tcst.2025.3571558,1
2024,UnmannedSys,Self-Triggered Formation Control of an Asynchronous Multiple Underwater Unmanned Vehicle Under Communication Delay,Zheping Yan; Jinyu Yan,https://doi.org/10.1142/s2301385026500020,1
2025,CEP,A zone predictive safety filter for drill string torsional vibrations control considering measurement delay and data loss,Yilong Zhang; Baochang Xu; Yiqi Chen; Wei Liu; Ruijie Gao,https://doi.org/10.1016/j.conengprac.2025.106561,1
2026,JAS,Networked Predictive Control: A Survey,Zhong‐Hua Pang; Tong Mu; Yi Yu; Haibin Guo; Guo-Ping Liu,https://doi.org/10.1109/jas.2025.125234,1
2025,T-AC,Sampled-Data Consensus Control With Distinct Input Delays and Switching Networks,Ran Huang; Jinhui Zhang,https://doi.org/10.1109/tac.2025.3577962,0
2025,T-AC,Delay-Adaptive Finite-Dimensional Control of Systems With Unknown Short Input Delay,Adrián Ramírez,https://doi.org/10.1109/tac.2025.3579257,0
2025,T-AC,Stabilization of First-Order Hyperbolic PDE Systems With Input Delay and Multiplicative Noise,Xiaomin Xue; Juanjuan Xu; Huanshui Zhang,https://doi.org/10.1109/tac.2025.3634822,0
2020,Automatica,Comment on “New predictive scheme for the control of LTI systems with input delay and unknown disturbances [Automatica 52 (2015) 179–184]”,Jun Sun,https://doi.org/10.1016/j.automatica.2020.108979,0
2025,Automatica,Predictor-based composite disturbance rejection control for discrete-time linear systems with input delay and disturbance,Xing Hu; Jinhui Zhang; Zheng‐Guang Wu,https://doi.org/10.1016/j.automatica.2025.112408,0
2026,Automatica,Predictor-based attitude control for rigid body systems with input delays,Siri Marte Schlanbusch; Jing Zhou,https://doi.org/10.1016/j.automatica.2026.112893,0
2024,IJRNC,Stabilization of nonlinear stochastic systems with input and output delays via event‐triggered predictive control,Dinglin Deng; Ping He; Peng Shi; Levente Kovács,https://doi.org/10.1002/rnc.7309,0
2024,IJRNC,Constrained model predictive control for networked jump systems under denial‐of‐service attacks and time delays,Li Qiu; Runjie Chen; Shaolie Lin; Xueliang Liu; Marzieh Najariyan,https://doi.org/10.1002/rnc.7529,0
2025,IJRNC,Predictor‐Based Adaptive Robust Control for Input Delay Systems With Lipschitz Nonlinear Uncertainties and Disturbances,Han Lai; Yang Zhu; Zheng Chen; Bin Yao,https://doi.org/10.1002/rnc.70130,0
2025,IJRNC,Multi‐Rate Sampled and Delayed Output Signal Prediction‐Based Observer Design for Two‐Stage Anaerobic Digestion Process,Hongxuan Li; Haoping Wang; Yang Tian; Xincheng Zhuang; Lyudmila Kabaivanova,https://doi.org/10.1002/rnc.70234,0
2026,IJRNC,Observer‐Based Affine Formation Maneuver Control of Multi‐Agent Systems With Time Delays,Mengqing Wang; Fei Wang; Yunliang Wei; Chuan Zhang,https://doi.org/10.1002/rnc.70420,0
2026,IJRNC,Disturbance Attenuation Control of Continuous‐Time Linear Input‐Delayed Systems Based on Parametric Predictors,Shi-Long Shen; Ai‐Guo Wu; Yu Wang,https://doi.org/10.1002/rnc.70430,0
2026,IJRNC,Sampled‐Data Control of Nonlinear Systems With Input Delay Using Memoryless Feedback,Xueliang Liu; Wei Lin; Jian Chen,https://doi.org/10.1002/rnc.70381,0
2026,IJRNC,Predictive ESO‐Based Anti‐Disturbance Control Design for a Class of Nonlinear Systems With Time‐Varying Input Delay,Yihui Gong; Shoulin Hao; Tao Liu; Naseem Ahmad; Wen‐Hua Chen,https://doi.org/10.1002/rnc.70474,0
2024,JFI,Pose stabilization control for actuator delayed rigid body dynamics on SE(3) with predicted feedback,Xiuhui Peng; Yijia Zhou; Zhiyong Sun; Ka‐Veng Yuen,https://doi.org/10.1016/j.jfranklin.2024.106866,0
2025,JFI,Advancing control of Boolean control networks with delays in output and states: From the Smith predictor to its modification,Weiwei Zhang; Yuanchang Sun; Kai Huang,https://doi.org/10.1016/j.jfranklin.2025.107767,0
2025,JFI,Observer-based tracking control for linear system with input delays and disturbances using predictors and sub-predictors,Ba Huy Nguyen; The Dong Dang; Igor B. Furtat; П. А. Гущин,https://doi.org/10.1016/j.jfranklin.2025.108117,0
2025,T-IE,Digital Twin-Based Physical–Virtual Synchronization Control for a Carlike Mobile Robot Under Communication Delays,Yuanqing Xia; Yan Peng; Hongjiu Yang; Bing Cui; Lijie You,https://doi.org/10.1109/tie.2025.3587101,0
2025,T-IE,Delay Compensation for Remote Driven Vehicles: An SRCKF-Based Predictor,Lin Zhao; Mikael Nybacka; Malte Rothhämel; Jonas Mårtensson,https://doi.org/10.1109/tie.2025.3613626,0
2026,T-IE,Shattering Latency Boundaries: An LSTM–RCM Driven Smith Predictor for Path Tracking Control Under Time Delay,Seokki Lee; Junmin Park; Munyu Kim; Joono Cheong,https://doi.org/10.1109/tie.2026.3661018,0
2026,T-II,Fairness-Aware Deterministic Joint Offloading and Scheduling for Industrial Edge Computing,Yingfei Yao; Nan Zhou; Shunchun Yao; Xiaojun Liang; Wenfeng Deng,https://doi.org/10.1109/tii.2026.3654608,0
2026,T-II,Predictive Monitoring of Industrial Processes and Quality Indices via Joint Training of Soft Sensor and Time-Series Forecasting,Yonghang Li; Xiaochen Hao; Xunian Yang; Xingzhi Zheng; Libin Wei,https://doi.org/10.1109/tii.2026.3664090,0
2025,T-AES,A Zenith Tropospheric Delay Prediction Model Based on VMD-LSTM Neural Network,Kaihui Lv; Chenglin Cai; Yihao Cai; Yun Fang; Zexian Li,https://doi.org/10.1109/taes.2025.3609313,0
2026,T-AES,Anti-Jamming Routing Based Graph Neural Network for Satellite Constellation Defense,Senbai Zhang; Aijun Liu; Chen Han; Kang An; Zhi Lin,https://doi.org/10.1109/taes.2026.3677860,0
2026,T-AES,Data-Driven Koopman Model Predictive Control of Free-Floating Space Robots Under Time Delays and Unknown Dynamics,Saurabh Chaudhary; Niladri S. Tripathy; Suril V. Shah,https://doi.org/10.1109/taes.2026.3683851,0
2025,AST,Model predictive control for aircraft engine thermal management under nonlinear heat transfer and time delay,Ke-Lun He; Tianyi Zhang; Xiao-Guang Zhang; Qun Chen,https://doi.org/10.1016/j.ast.2025.111491,0
2026,AST,Discrete exponentially stable prediction-based controller under time delay with application to unmanned helicopters,Seong-Min Lee; Jihun Song; Yonghyun Cho; Hungsun Son,https://doi.org/10.1016/j.ast.2026.111935,0
